# Step   Time     sin1        cos1        sin2        cos2        h1          h2 
272   2.7200    0.209167    0.977880    0.574767   -0.818317    0.022120    1.840437
273   2.7300    0.235027    0.971989    0.539287   -0.842122    0.028011    1.870133
274   2.7400    0.260780    0.965398    0.503692   -0.863883    0.034602    1.898485
275   2.7500    0.286336    0.958129    0.468119   -0.883665    0.041871    1.925536
276   2.7600    0.311611    0.950210    0.432692   -0.901542    0.049790    1.951332
277   2.7700    0.336526    0.941674    0.397523   -0.917592    0.058326    1.975918
278   2.7800    0.361009    0.932563    0.362714   -0.931901    0.067437    1.999338
279   2.7900    0.384994    0.922919    0.328354   -0.944555    0.077081    2.021636
280   2.8000    0.408423    0.912793    0.294522   -0.955645    0.087207    2.042852
281   2.8100    0.431244    0.902235    0.261285   -0.965262    0.097765    2.063027
282   2.8200    0.453412    0.891301    0.228700   -0.973497    0.108699    2.082196
283   2.8300    0.474886    0.880047    0.196814   -0.980441    0.119953    2.100394
284   2.8400    0.495636    0.868531    0.165666   -0.986182    0.131469    2.117651
285   2.8500    0.515633    0.856810    0.135284   -0.990807    0.143190    2.133997
286   2.8600    0.534857    0.844943    0.105691   -0.994399    0.155057    2.149456
287   2.8700    0.553292    0.832987    0.076901   -0.997039    0.167013    2.164051
288   2.8800    0.570927    0.821001    0.048923   -0.998803    0.178999    2.177802
289   2.8900    0.587756    0.809038    0.021760   -0.999763    0.190962    2.190725
290   2.9000    0.603775    0.797155   -0.004590   -0.999989    0.202845    2.202835
291   2.9100    0.618986    0.785402   -0.030132   -0.999546    0.214598    2.214144
292   2.9200    0.633393    0.773830   -0.054877   -0.998493    0.226170    2.224663
293   2.9300    0.647003    0.762487   -0.078837   -0.996888    0.237513    2.234400
294   2.9400    0.659825    0.751419   -0.102026   -0.994782    0.248581    2.243363
295   2.9500    0.671870    0.740669   -0.124462   -0.992224    0.259331    2.251555
296   2.9600    0.683149    0.730279   -0.146162   -0.989261    0.269721    2.258982
297   2.9700    0.693678    0.720285   -0.167147   -0.985932    0.279715    2.265647
298   2.9800    0.703470    0.710724   -0.187435   -0.982277    0.289276    2.271552
299   2.9900    0.712541    0.701630   -0.207049   -0.978331    0.298370    2.276700
300   3.0000    0.720905    0.693034   -0.226007   -0.974126    0.306966    2.281092
301   3.0100    0.728578    0.684963   -0.244332   -0.969692    0.315037    2.284729
302   3.0200    0.735575    0.677444   -0.262041   -0.965057    0.322556    2.287613
303   3.0300    0.741909    0.670501   -0.279156   -0.960246    0.329499    2.289745
304   3.0400    0.747594    0.664156   -0.295695   -0.955282    0.335844    2.291126
305   3.0500    0.752643    0.658428   -0.311676   -0.950188    0.341572    2.291760
306   3.0600    0.757068    0.653336   -0.327116   -0.944984    0.346664    2.291648
307   3.0700    0.760879    0.648894   -0.342030   -0.939689    0.351106    2.290795
308   3.0800    0.764084    0.645117   -0.356435   -0.934320    0.354883    2.289203
309   3.0900    0.766691    0.642016   -0.370344   -0.928895    0.357984    2.286879
310   3.1000    0.768707    0.639601   -0.383771   -0.923428    0.360399    2.283827
311   3.1100    0.770135    0.637881   -0.396726   -0.917937    0.362119    2.280056
312   3.1200    0.770978    0.636861   -0.409221   -0.912435    0.363139    2.275574
313   3.1300    0.771238    0.636547   -0.421266   -0.906937    0.363453    2.270390
314   3.1400    0.770913    0.636941   -0.432870   -0.901456    0.363059    2.264515
315   3.1500    0.770000    0.638044   -0.444041   -0.896006    0.361956    2.257963
316   3.1600    0.768496    0.639854   -0.454788   -0.890600    0.360146    2.250746
317   3.1700    0.766395    0.642369   -0.465116   -0.885249    0.357631    2.242880
318   3.1800    0.763689    0.645584   -0.475034   -0.879967    0.354416    2.234383
319   3.1900    0.760370    0.649490   -0.484548   -0.874765    0.350510    2.225274
320   3.2000    0.756426    0.654079   -0.493664   -0.869653    0.345921    2.215574
321   3.2100    0.751847    0.659337   -0.502389   -0.864642    0.340663    2.205305
322   3.2200    0.746620    0.665250   -0.510731   -0.859741    0.334750    2.194490
323   3.2300    0.740732    0.671800   -0.518697   -0.854958    0.328200    2.183158
324   3.2400    0.734169    0.678967   -0.526297   -0.850301    0.321033    2.171334
325   3.2500    0.726917    0.686726   -0.533542   -0.845774    0.313274    2.159048
326   3.2600    0.718961    0.695050   -0.540442   -0.841381    0.304950    2.146331
327   3.2700    0.710290    0.703909   -0.547012   -0.837125    0.296091    2.133216
328   3.2800    0.700890    0.713270   -0.553268   -0.833004    0.286730    2.119734
329   3.2900    0.690750    0.723094   -0.559228   -0.829014    0.276906    2.105920
330   3.3000    0.679862    0.733340   -0.564914   -0.825150    0.266660    2.091810
331   3.3100    0.668219    0.743965   -0.570350   -0.821402    0.256035    2.077437
332   3.3200    0.655818    0.754919   -0.575564   -0.817756    0.245081    2.062837
333   3.3300    0.642657    0.766154   -0.580588   -0.814197    0.233846    2.048044
334   3.3400    0.628743    0.777613   -0.585456   -0.810704    0.222387    2.033091
335   3.3500    0.614082    0.789243   -0.590207   -0.807252    0.210757    2.018009
336   3.3600    0.598687    0.800983   -0.594884   -0.803812    0.199017    2.002829
337   3.3700    0.582578    0.812775   -0.599532   -0.800351    0.187225    1.987576
338   3.3800    0.565776    0.824559   -0.604201   -0.796832    0.175441    1.972274
339   3.3900    0.548312    0.836274   -0.608942   -0.793215    0.163726    1.956941
340   3.4000    0.530219    0.847861   -0.613810   -0.789454    0.152139    1.941593
341   3.4100    0.511536    0.859262   -0.618860   -0.785501    0.140738    1.926239
342   3.4200    0.492306    0.870422   -0.624150   -0.781304    0.129578    1.910882
343   3.4300    0.472578    0.881289   -0.629736   -0.776809    0.118711    1.895520
344   3.4400    0.452401    0.891815   -0.635672   -0.771959    0.108185    1.880144
345   3.4500    0.431828    0.901956   -0.642012   -0.766695    0.098044    1.864739
346   3.4600    0.410914    0.911674   -0.648805   -0.760955    0.088326    1.849281
347   3.4700    0.389713    0.920936   -0.656094   -0.754679    0.079064    1.833743
348   3.4800    0.368279    0.929715   -0.663919   -0.747804    0.070285    1.818089
349   3.4900    0.346663    0.937990   -0.672312   -0.740268    0.062010    1.802278
350   3.5000    0.324914    0.945743   -0.681296   -0.732008    0.054257    1.786265
351   3.5100    0.303078    0.952966   -0.690886   -0.722964    0.047034    1.769998
352   3.5200    0.281193    0.959651   -0.701089   -0.713074    0.040349    1.753423
353   3.5300    0.259294    0.965798   -0.711901   -0.702280    0.034202    1.736481
354   3.5400    0.237411    0.971409   -0.723310   -0.690524    0.028591    1.719114
